Fit             Iteration       K1              K2              alpha           
1.57639000e-01  2001            5.84510000e-02  2.92265500e+01  7.10280000e-01  
1.57642000e-01  1513            7.33720000e-02  3.12406300e+01  7.28564000e-01  
1.57672000e-01  2175            5.84510000e-02  3.01835820e+01  7.10280000e-01  
1.57699000e-01  1915            7.58700000e-02  2.75414820e+01  7.28564000e-01  
1.57740000e-01  2052            6.98950000e-02  2.67063580e+01  7.28564000e-01  
1.57754000e-01  2044            7.10900000e-02  2.91459810e+01  7.30004000e-01  
1.57825000e-01  1464            7.39520000e-02  2.76714080e+01  7.28564000e-01  
1.57826000e-01  1299            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.57854000e-01  2681            7.35900000e-02  3.11676580e+01  7.13967000e-01  
1.57855000e-01  1349            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.57862000e-01  2653            7.86630000e-02  3.11676580e+01  7.13967000e-01  
1.57868000e-01  2029            6.97160000e-02  2.75414820e+01  7.28564000e-01  
1.57917000e-01  2628            7.81830000e-02  3.07924170e+01  7.28564000e-01  
1.57928000e-01  1628            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.57950000e-01  2181            5.84510000e-02  2.84186590e+01  7.10280000e-01  
1.57959000e-01  1435            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.57990000e-01  1533            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.58015000e-01  2126            7.09360000e-02  2.73410570e+01  7.28564000e-01  
1.58088000e-01  1236            6.82690000e-02  2.58864490e+01  7.34311000e-01  
1.58092000e-01  2575            7.63350000e-02  2.96797880e+01  7.31048000e-01  
1.58127000e-01  1652            7.10900000e-02  2.52763960e+01  7.28564000e-01  
1.58251000e-01  1822            7.58700000e-02  2.69911740e+01  7.28564000e-01  
1.58299000e-01  2450            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.58337000e-01  2490            7.35900000e-02  3.16424700e+01  7.30004000e-01  
1.58491000e-01  1568            7.25260000e-02  2.74569850e+01  7.28564000e-01  
1.58550000e-01  1518            7.39520000e-02  2.78535480e+01  7.28564000e-01  
1.58621000e-01  2476            7.35900000e-02  2.96797880e+01  7.28564000e-01  
1.58625000e-01  2505            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.58697000e-01  2383            7.35900000e-02  2.92126410e+01  7.28564000e-01  
1.58735000e-01  1770            7.39520000e-02  2.61281840e+01  7.28564000e-01  
1.58737000e-01  1975            7.10310000e-02  2.84186590e+01  7.28564000e-01  
1.58747000e-01  1607            7.25260000e-02  2.78695090e+01  7.28564000e-01  
1.58784000e-01  2560            6.96160000e-02  2.84186590e+01  7.28564000e-01  
